Column1 (Even),Column2 (Odd),Number_of_copies
"Grégory Samak 
","IL LIBRO DEL DESTINO
",1
"ÉRIC PARADISI 
","IL PARRUCCHIERE DI AUSCHWITZ
",1
"CHRIS KUZNESKI 
","IL TRONO DI DIO
",1
"ROBIN SLOAN
","IL SEGRETO DELLA LIBRERIA SEMPRE APERTA
",1
"SUSANA FORTES
","IL CAMMINO DEL PENITENTE
",1
"STEPHENIE MEYER
","L'OSPITE
",1
"Lauren Kate
","TORMENT
",1
"MARKUS HEITZ
","IL SIGNORE DEGLI INCANTESIMI
",1
"MARKUS HEITZ 
","LA PROFEZIA DEL RE
",1
"Mikkel Birkegaard 
","I libri di Luca
",1
"Romana Petri 
",Figli dello stesso padre ,1
"WILBUR SMITH 
","IL SETTIMO PAPIRO
",3
"JAMES ROLLINS 
","LA MAPPA DI PIETRA
",3
"Charlotte Valandrey 
","Il mio cuore sconosciuto
",3
"WILBUR SMITH
","DOVE FINISCE L'ARCOBALENO
",3
"JEFFERY DEAVER
","PIETÀ PER GLI INSONNI
",3
"JUSSI ADLER-OLSEN 
","La donna in gabbia
",3
"FEDERICA BRUNINI
","La matematica delle bionde
",3
"JUSSI ADLER-OLSEN  
","Battuta di caccia
",3
"ELIZABETH GEORGE
","E LIBERACI DAL PADRE
",3
"CAROLYN JESS-COOKE
","I DIARI DELL'ANGELO CUSTODE
",3
"JAN WALLENTIN 
","La stella di Strindberg
",3
"Sheila Jeffries
","La storia di Solomon
",3
"KEN FOLLETT
","TRIPLO
",3
"Jodi Picoult 
","L'altra famiglia
",3
"LIZA MARKLUND 
","11 Lupo Rosso
",3
"KATHY REICHS C
","ENERI
",3
"FRANCESCO GUNGUI 
","Tutto il tempo che vuoi
",3
"JAMES PATTERSON ANDREW GROSS 
","TERZO GRADO
",3
"BELLA ANDRE 
","Se mi innamoro
",3
"JAMES PATTERSON 
","PRIVATE
",3
"SUSAN RICHARDS 
","UN'INATTESA LEZIONE D'AMORE
",3
"GIULIA BESA 
","Con te al di là del mare
",3
"SIMONA MORANI 
","Cuore delicato, lavare a mano
",3
"Henning Mankell 
","La falsa pista
",3
"ÁNGELES MASTRETTA
","Donne dagli occhi grandi
",3
"GEMMA TOWNLEY
","Un incidente chiamato amore
",3
"HENNING MANKELL 
","Il ritorno del maestro di danza
",3
"ASSIA DJEBAR
","Nel cuore della notte algerina
",3
"Henning Mankell 
","I cani di Riga
",3
"Justine 
","HO DECISO DI NON MANGIARE PIÙ
",6
